ID,Item,name,duration,log_duration,c_logduration,level ,proficiency,pho_len,c_pho_len,logdice,c_logdice,zpf_total,c_zpf_total,zpf_w1,c_zpf_w1,zpf_w2,c_zpf_w2
1,1,TW101,1.223 ,0.087 ,-0.036 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
2,1,TW102,1.163 ,0.066 ,-0.057 ,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
3,1,TW103,1.050 ,0.021 ,-0.102 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
4,1,TW104,1.032 ,0.014 ,-0.109 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
5,1,TW105,0.912 ,-0.040 ,-0.163 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
6,1,TW106,1.361 ,0.134 ,0.011 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
7,1,TW107,1.342 ,0.128 ,0.005 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
8,1,TW108,2.032 ,0.308 ,0.185 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
9,1,TW109,1.919 ,0.283 ,0.160 ,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
10,1,TW110,1.237 ,0.092 ,-0.031 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
